
SELECT loc.Borough as Borough, loc.Zone as Zone, AVG(taxi.duration_min) as Avg_Duration
FROM "main"."main"."mart__fact_all_taxi_trips" taxi
JOIN "main"."main"."mart__dim_locations" loc ON taxi.PUlocationID = loc.LocationID
GROUP BY all
ORDER BY 1, 2
'Borough','Zone','Avg_Duration'
'Queens','Jamaica',16.279087983074116863
'Queens','Jamaica Bay',28.435897435897434348
'Queens','Jamaica Estates',16.838848666089557326
'Queens','Kew Gardens',16.201467683568576916
'Queens','Kew Gardens Hills',17.538055818776708605
'Queens','LaGuardia Airport',29.985379828557082505
'Queens','Laurelton',15.780863847636322106
'Queens','Long Island City/Hunters Point',18.612137986903395159
'Queens','Long Island City/Queens Plaza',18.958338999954666093
'Queens','Maspeth',15.851534112675729204
'Queens','Middle Village',16.728190853711854657
'Queens','Murray Hill-Queens',26.278934208470072775
'Queens','North Corona',15.525177931804437392
'Queens','Oakland Gardens',17.549345060765119796
'Queens','Old Astoria',17.217100563207125673
'Queens','Ozone Park',15.671319275984325614
'Queens','Queens Village',16.63739336232043442
'Queens','Queensboro Hill',23.590480456410013233
'Queens','Queensbridge/Ravenswood',18.345972255136082651
'Queens','Rego Park',17.35904701324235333
'Queens','Richmond Hill',15.681097071016646182
'Queens','Ridgewood',17.696225008338728912
'Queens','Rockaway Park',22.484232793821025352
'Queens','Rosedale',16.116240266963291816
'Queens','Saint Albans',16.592614773175810682
'Queens','Saint Michaels Cemetery/Woodside',12.418746772249956933
'Queens','South Jamaica',15.773521040080005662
'Queens','South Ozone Park',14.809767117229915456
'Queens','Springfield Gardens North',16.346904517658970235
'Queens','Springfield Gardens South',16.496733001163587317
'Queens','Steinway',16.476475761239967709
'Queens','Sunnyside',17.66462575741313401
'Queens','Whitestone',24.576388571428569918
'Queens','Willets Point',20.777225485765928425
'Queens','Woodhaven',17.168329221638241932
'Queens','Woodside',15.855696130514248309
'Staten Island','Arden Heights',16.895845062492963251
'Staten Island','Arrochar/Fort Wadsworth',18.036458901866609494
'Staten Island','Bloomfield/Emerson Hill',16.703765942778353803
'Staten Island','Charleston/Tottenville',17.707633877706037139
'Staten Island','Eltingville/Annadale/Prince''s Bay',16.791010548845743954
'Staten Island','Freshkills Park',17.419847328244273398
'Staten Island','Great Kills',17.30212272475167623
'Staten Island','Great Kills Park',18.174603174603173982
'Staten Island','Grymes Hill/Clifton',24.316299636874781243
'Staten Island','Heartland Village/Todt Hill',17.558340404897563758
'Staten Island','Mariners Harbor',15.842806846615442139
'Staten Island','New Dorp/Midland Beach',17.311166875784191887
'Staten Island','Oakwood',18.367704813224950299
'Staten Island','Port Richmond',16.949519550104060527
'Staten Island','Rossville/Woodrow',17.16675324675324532
'Staten Island','Saint George/New Brighton',15.68737670089534042
'Staten Island','South Beach/Dongan Hills',18.175674167751534326
'Staten Island','Stapleton',23.438556969765233616
'Staten Island','West Brighton',16.656125719139733831
'Staten Island','Westerleigh',14.828448950991303334
'Unknown','NA',35.661471831946528255
'Unknown','NV',35.743389576117060358
